OBJ_ORG,OBJ_MRC,OBJ_UDFCHAR15,OBJ_OBTYPE,OBJ_CLASS,ORG_UDFCHKBOX01,OBJ_NOTUSED
CHEPSTOW PLANT,UK460154,UK460154,L,SITE,-,-
CHEPSTOW PLANT,UK460159,UK460159,L,SITE,-,-
CHEPSTOW PLANT,UK460163,UK460163,L,SITE,-,-
CHEPSTOW PLANT,UK460112,UK460112,L,SITE,-,-
CHEPSTOW PLANT,UK460136,UK460136,L,SITE,-,-
CHEPSTOW PLANT,UK460158,UK460158,L,SITE,-,-
CHEPSTOW PLANT,UK460167,UK460167,L,SITE,-,-
CHEPSTOW PLANT,UK460121,UK460121,L,SITE,-,-
CHEPSTOW PLANT,UK460147,UK460147,L,SITE,-,-
CHEPSTOW PLANT,UK460166,UK460166,L,SITE,-,-
CHEPSTOW PLANT,UK460157,UK460157,L,SITE,-,-
DUFFERIN CONCR,CA836576,CA836576,L,SITE,-,-
DUFFERIN CONCR,CA836577,CA836577,L,SITE,-,-
CHEPSTOW PLANT,UK460170,UK460170,L,SITE,-,-
VEOLIA,UK200020,UK200020,L,SITE,-,-
VEOLIA,UK200021,UK200021,L,SITE,-,-
VEOLIA,UK200022,UK200022,L,SITE,-,-
VEOLIA,UK200023,UK200023,L,SITE,-,-
VEOLIA,UK200024,UK200024,L,SITE,-,-
VEOLIA,UK200025,UK200025,L,SITE,-,-
VEOLIA,UK200026,UK200026,L,SITE,-,-
VEOLIA,UK200027,UK200027,L,SITE,-,-
VEOLIA,UK200028,UK200028,L,SITE,-,-
VEOLIA,UK200029,UK200029,L,SITE,-,-
VEOLIA,UK200030,UK200030,L,SITE,-,-
VEOLIA,UK200031,UK200031,L,SITE,-,-
VEOLIA,UK200083,UK200083,L,SITE,-,-
VEOLIA,UK200084,UK200084,L,SITE,-,-
VEOLIA,UK200085,UK200085,L,SITE,-,-
VEOLIA,UK200086,UK200086,L,SITE,-,-
VEOLIA,UK200093,UK200093,L,SITE,-,-
REDPATH AUS,AU0642,AU0642,L,SITE,-,-
AGG INDUSTRIES,UK300064,UK300064,L,SITE,-,-
AGG INDUSTRIES,UK300065,UK300065,L,SITE,-,-
AGG INDUSTRIES,UK300066,UK300066,L,SITE,-,-
AGG INDUSTRIES,UK300067,UK300067,L,SITE,-,-
AGG INDUSTRIES,UK300068,UK300068,L,SITE,-,-
AGG INDUSTRIES,UK300069,UK300069,L,SITE,-,-
SOUTH DEEP MINE,SA1690,SA1690,L,SITE,-,-
DEVELOP,AU0670,AU0670,L,SITE,-,-
ROBERT E YOUNG,CA836909,CA836909,L,SITE,-,-
CERRO MATOSO,CO0220,CO0220,L,SITE,-,-
REDPATH AUS,AU0647,AU0647,L,SITE,-,-
HANSON AGG,UK210010,UK210010,L,SITE,-,-
HANSON AGG,UK210011,UK210011,L,SITE,-,-
HANSON AGG,UK210012,UK210012,L,SITE,-,-
HANSON AGG,UK210013,UK210013,L,SITE,-,-
HANSON AGG,UK210014,UK210014,L,SITE,-,-
HANSON AGG,UK210015,UK210015,L,SITE,-,-
HANSON AGG,UK210019,UK210019,L,SITE,-,-
HANSON AGG,UK210021,UK210021,L,SITE,-,-
HANSON AGG,UK210023,UK210023,L,SITE,-,-
HANSON AGG,UK210024,UK210024,L,SITE,-,-
HANSON AGG,UK210028,UK210028,L,SITE,-,-
HANSON AGG,UK210029,UK210029,L,SITE,-,-
HANSON AGG,UK210030,UK210030,L,SITE,-,-
HANSON AGG,UK210031,UK210031,L,SITE,-,-
HANSON AGG,UK210032,UK210032,L,SITE,-,-
DUFFERIN AGG,CA836591,CA836591,L,SITE,-,-
KALGOLD ECO,SA1940,Brits,L,SITE,-,-
LA ESTANCIA,CO0190,CO0190,L,SITE,-,-
LAFARGE CANADA,CA853638,CA853638,L,SITE,-,-
CHEPSTOW PLANT,UK460102,UK460102,L,SITE,-,-
LAFARGE CANADA,CA853645,CA853645,L,SITE,-,-
VEOLIA,UK200044,UK200044,L,SITE,-,-
VEOLIA,UK200045,UK200045,L,SITE,-,-
VEOLIA,UK200097,UK200097,L,SITE,-,-
VEOLIA,UK200098,UK200098,L,SITE,-,-
COTE GOLD,CA3710,CA3710,L,SITE,-,-
AGG INDUSTRIES,UK300013,UK300013,L,SITE,-,-
AGG INDUSTRIES,UK300014,UK300014,L,SITE,-,-
AGG INDUSTRIES,UK300015,UK300015,L,SITE,-,-
AGG INDUSTRIES,UK300016,UK300016,L,SITE,-,-
AGG INDUSTRIES,UK300017,UK300017,L,SITE,-,-
AGG INDUSTRIES,UK300018,UK300018,L,SITE,-,-
AGG INDUSTRIES,UK300019,UK300019,L,SITE,-,-
AGG INDUSTRIES,UK300020,UK300020,L,SITE,-,-
AGG INDUSTRIES,UK300021,UK300021,L,SITE,-,-
AGG INDUSTRIES,UK300022,UK300022,L,SITE,-,-
AGG INDUSTRIES,UK300023,UK300023,L,SITE,-,-
AGG INDUSTRIES,UK300024,UK300024,L,SITE,-,-
AGG INDUSTRIES,UK300025,UK300025,L,SITE,-,-
AGG INDUSTRIES,UK300026,UK300026,L,SITE,-,-
AGG INDUSTRIES,UK300027,UK300027,L,SITE,-,-
AGG INDUSTRIES,UK300028,UK300028,L,SITE,-,-
AGG INDUSTRIES,UK300029,UK300029,L,SITE,-,-
AGG INDUSTRIES,UK300030,UK300030,L,SITE,-,-
AGG INDUSTRIES,UK300031,UK300031,L,SITE,-,-
AGG INDUSTRIES,UK300032,UK300032,L,SITE,-,-
AGG INDUSTRIES,UK300033,UK300033,L,SITE,-,-
AGG INDUSTRIES,UK300034,UK300034,L,SITE,-,-
AGG INDUSTRIES,UK300035,UK300035,L,SITE,-,-
AGG INDUSTRIES,UK300036,UK300036,L,SITE,-,-
AGG INDUSTRIES,UK300037,UK300037,L,SITE,-,-
AGG INDUSTRIES,UK300038,UK300038,L,SITE,-,-
AGG INDUSTRIES,UK300039,UK300039,L,SITE,-,-
AGG INDUSTRIES,UK300040,UK300040,L,SITE,-,-
AGG INDUSTRIES,UK300041,UK300041,L,SITE,-,-
AGG INDUSTRIES,UK300042,UK300042,L,SITE,-,-
AGG INDUSTRIES,UK300043,UK300043,L,SITE,-,-
AGG INDUSTRIES,UK300047,UK300047,L,SITE,-,-
AGG INDUSTRIES,UK300048,UK300048,L,SITE,-,-
AGG INDUSTRIES,UK300049,UK300049,L,SITE,-,-
AGG INDUSTRIES,UK300053,UK300053,L,SITE,-,-
AGG INDUSTRIES,UK300054,UK300054,L,SITE,-,-
AGG INDUSTRIES,UK300055,UK300055,L,SITE,-,-
AGG INDUSTRIES,UK300056,UK300056,L,SITE,-,-
AGG INDUSTRIES,UK300057,UK300057,L,SITE,-,-
AGG INDUSTRIES,UK300058,UK300058,L,SITE,-,-
AGG INDUSTRIES,UK300059,UK300059,L,SITE,-,-
LAFARGE CANADA,CA836616,CA836616,L,SITE,-,-
LAFARGE CANADA,CA836617,CA836617,L,SITE,-,-
LAFARGE CANADA,CA836618,CA836618,L,SITE,-,-
LAFARGE CANADA,CA836619,CA836619,L,SITE,-,-
LAFARGE CANADA,CA836620,CA836620,L,SITE,-,-
LAFARGE CANADA,CA836621,CA836621,L,SITE,-,-
LAFARGE CANADA,CA836622,CA836622,L,SITE,-,-
LAFARGE CANADA,CA836623,CA836623,L,SITE,-,-
LAFARGE CANADA,CA836624,CA836624,L,SITE,-,-
LAFARGE CANADA,CA836626,CA836626,L,SITE,-,-
LAFARGE CANADA,CA836627,CA836627,L,SITE,-,-
LAFARGE CANADA,CA836628,CA836628,L,SITE,-,-
LAFARGE CANADA,CA836629,CA836629,L,SITE,-,-
LAFARGE CANADA,CA836631,CA836631,L,SITE,-,-
LAFARGE CANADA,CA836632,CA836632,L,SITE,-,-
LAFARGE CANADA,CA836634,CA836634,L,SITE,-,-
LAFARGE CANADA,CA836635,CA836635,L,SITE,-,-
LAFARGE CANADA,CA836636,CA836636,L,SITE,-,-
LAFARGE CANADA,CA853637,CA853637,L,SITE,-,-
LAS ENCINAS,ME0070,ME0070,L,SITE,-,-
PENA COLORADA,ME0170,ME0170,L,SITE,-,-
THARISA M ECO,SA1740,SA1740,L,SITE,-,-
THARISA W ECO,SA1741,SA1741,L,SITE,-,-
THARISA FW ECO,SA1742,SA1742,L,SITE,-,-
WATERVAL,SA0910,SA0910,L,SITE,-,-
VEOLIA,UK200094,UK200094,L,SITE,-,-
REDPATH AUS,AU0643,AU0643,L,SITE,-,-
REDPATH AUS,AU0644,AU0644,L,SITE,-,-
SILVERTIP,CA3560,CA3560,L,SITE,-,-
AGG INDUSTRIES,UK300060,UK300060,L,SITE,-,-
AGG INDUSTRIES,UK300061,UK300061,L,SITE,-,-
SOUTH DEEP MINE,SA1700,SA1700,L,SITE,-,-
VALENTINE GOLD,CA3590,CA3590,L,SITE,-,-
SAUCITO,ME0480,ME0480,L,SITE,-,-
DEVELOP,AU0671,AU0671,L,SITE,-,-
HANSON AGG,UK210016,UK210016,L,SITE,-,-
HANSON AGG,UK210017,UK210017,L,SITE,-,-
HANSON AGG,UK210018,UK210018,L,SITE,-,-
HANSON AGG,UK210020,UK210020,L,SITE,-,-
HANSON AGG,UK210033,UK210033,L,SITE,-,-
HANSON AGG,UK210034,UK210034,L,SITE,-,-
HANSON AGG,UK210035,UK210035,L,SITE,-,-
HANSON AGG,UK210036,UK210036,L,SITE,-,-
HANSON AGG,UK210088,UK210088,L,SITE,-,-
HANSON AGG,UK210089,UK210089,L,SITE,-,-
HANSON AGG,UK210092,UK210092,L,SITE,-,-
HANSON AGG,UK210095,UK210095,L,SITE,-,-
HANSON AGG,UK210112,UK210112,L,SITE,-,-
HANSON AGG,UK210113,UK210113,L,SITE,-,-
HANSON AGG,UK210115,UK210115,L,SITE,-,-
HANSON AGG,UK210116,UK210116,L,SITE,-,-
HANSON AGG,UK210117,UK210117,L,SITE,-,-
HANSON AGG,UK210118,UK210118,L,SITE,-,-
HANSON AGG,UK210120,UK210120,L,SITE,-,-
HANSON AGG,UK210121,UK210121,L,SITE,-,-
HANSON AGG,UK210122,UK210122,L,SITE,-,-
HANSON AGG,UK210123,UK210123,L,SITE,-,-
HANSON AGG,UK210132,UK210132,L,SITE,-,-
HANSON AGG,UK210103,UK210103,L,SITE,-,-
HANSON AGG,UK210105,UK210105,L,SITE,-,-
HANSON AGG,UK210107,UK210107,L,SITE,-,-
HANSON AGG,UK210108,UK210108,L,SITE,-,-
HANSON AGG,UK210109,UK210109,L,SITE,-,-
HANSON AGG,UK210110,UK210110,L,SITE,-,-
HANSON AGG,UK210111,UK210111,L,SITE,-,-
HANSON AGG,UK210114,UK210114,L,SITE,-,-
HANSON AGG,UK210127,UK210127,L,SITE,-,-
HANSON AGG,UK210128,UK210128,L,SITE,-,-
HANSON AGG,UK210129,UK210129,L,SITE,-,-
HANSON AGG,UK210130,UK210130,L,SITE,-,-
HANSON AGG,UK210131,UK210131,L,SITE,-,-
HANSON AGG,UK210090,UK210090,L,SITE,-,-
HANSON AGG,UK210093,UK210093,L,SITE,-,-
HANSON AGG,UK210094,UK210094,L,SITE,-,-
HANSON AGG,UK210119,UK210119,L,SITE,-,-
HANSON AGG,UK210124,UK210124,L,SITE,-,-
HANSON AGG,UK210125,UK210125,L,SITE,-,-
HANSON AGG,UK210126,UK210126,L,SITE,-,-
CHUQUICAMATA CO,CH0256,CH0256,L,SITE,-,-
HANSON AGG,UK210106,UK210106,L,SITE,-,-
HANSON AGG,UK210096,UK210096,L,SITE,-,-
HANSON AGG,UK210097,UK210097,L,SITE,-,-
HANSON AGG,UK210104,UK210104,L,SITE,-,-
HANSON AGG,UK210091,UK210091,L,SITE,-,-
HANSON AGG,UK210098,UK210098,L,SITE,-,-
HANSON AGG,UK210099,UK210099,L,SITE,-,-
HANSON AGG,UK210100,UK210100,L,SITE,-,-
HANSON AGG,UK210101,UK210101,L,SITE,-,-
HANSON AGG,UK210102,UK210102,L,SITE,-,-
PUEBLO VIEJO,DR0001,DR0001,L,SITE,-,-
